Date,Close,Change
10/6/16,108.51,1.07
10/7/16,108.51,0
10/10/16,109.43,0.92
10/11/16,108.94,-0.49
10/12/16,111.54,2.6
10/13/16,112.7,1.16
10/14/16,113.35,0.65
10/17/16,113.34,-0.01
10/18/16,114.15,0.81
10/19/16,115.32,1.17
10/20/16,114.83,-0.49
10/21/16,115.71,0.88
10/24/16,116.75,1.04
10/25/16,116.75,0
10/26/16,115.67,-1.08
10/27/16,115.4,-0.27
10/28/16,116.13,0.73
10/31/16,117.19,1.06
11/1/16,115.15,-2.04
11/2/16,112.91,-2.24
11/3/16,113.27,0.36
11/4/16,112.98,-0.29
11/7/16,115.19,2.21
11/8/16,115.93,0.74
11/9/16,109.22,-6.71
11/10/16,105.71,-3.51
11/11/16,105.71,0
11/14/16,102.57,-3.14
11/15/16,103.49,0.92
11/16/16,105.43,1.94
11/17/16,105.54,0.11
11/18/16,105.09,-0.45
11/21/16,105.91,0.82
11/22/16,107.98,2.07
11/23/16,106.78,-1.2
11/25/16,107.3,0.52
11/28/16,106.11,-1.19
11/29/16,106.05,-0.06
11/30/16,102.27,-3.78
12/1/16,100.98,-1.29
12/2/16,102.57,1.59
12/5/16,102.04,-0.53
12/6/16,100.85,-1.19
12/7/16,102.2,1.35
12/8/16,102.39,0.19
12/9/16,102.91,0.52
12/12/16,103.89,0.98
12/13/16,106.13,2.24
12/14/16,106.5,0.37
12/15/16,106.06,-0.44
12/16/16,105.8,-0.26
12/19/16,106.95,1.15
12/20/16,106.98,0.03
12/21/16,106.6,-0.38
12/22/16,106.6,0
12/23/16,106.03,-0.57
12/27/16,106.29,0.26
12/28/16,105.84,-0.45
12/29/16,106.39,0.55
12/30/16,105.68,-0.71
1/3/17,106.15,0.47
1/4/17,106.34,0.19
1/5/17,105.97,-0.37
1/6/17,105.27,-0.7
1/9/17,105.02,-0.25
1/10/17,103.5,-1.52
1/11/17,103.83,0.33
1/12/17,104.2,0.37
1/13/17,103.45,-0.75
1/17/17,105.17,1.72
1/18/17,105.67,0.5
1/19/17,104.44,-1.23
1/20/17,104.2,-0.24
1/23/17,104.78,0.58
1/24/17,104.57,-0.21
1/25/17,103.92,-0.65
1/26/17,104.3,0.38
1/27/17,103.82,-0.48
1/30/17,103.01,-0.81
1/31/17,103.5,0.49
2/1/17,103.28,-0.22
2/2/17,104.11,0.83
2/3/17,105.25,1.14
2/6/17,103.64,-1.61
2/7/17,103.47,-0.17
2/8/17,104.3,0.83
2/9/17,105.78,1.48
2/10/17,105.49,-0.29
2/13/17,107.55,2.06
2/14/17,106.78,-0.77
2/15/17,107.11,0.33
2/16/17,107.71,0.6
2/17/17,108.11,0.4
2/21/17,111.18,3.07
2/22/17,111.02,-0.16
2/23/17,112.2,1.18
2/24/17,112.89,0.69
2/27/17,113.34,0.45
2/28/17,114.79,1.45
3/1/17,113.84,-0.95
3/2/17,114.81,0.97
3/3/17,115.67,0.86
3/6/17,114.71,-0.96
3/7/17,114.7,-0.01
3/8/17,113.24,-1.46
3/9/17,113,-0.24
3/10/17,113.58,0.58
3/13/17,114.26,0.68
3/14/17,114.02,-0.24
3/15/17,115.28,1.26
3/16/17,115.09,-0.19
3/17/17,116.01,0.92
3/20/17,115.98,-0.03
3/21/17,116.74,0.76
3/22/17,118.31,1.57
3/23/17,118.95,0.64
3/24/17,119.32,0.37
3/27/17,120.01,0.69
3/28/17,120.39,0.38
3/29/17,121.04,0.65
3/30/17,120.91,-0.13
3/31/17,121.54,0.63
4/3/17,121.15,-0.39
4/4/17,120.74,-0.41
4/5/17,120.64,-0.1
4/6/17,121.95,1.31
4/7/17,122.12,0.17
4/10/17,122.48,0.36
4/11/17,122.76,0.28
4/12/17,122.37,-0.39
4/13/17,122.6,0.23
4/17/17,124.25,1.65
4/18/17,124.86,0.61
4/19/17,124.67,-0.19
4/20/17,124.3,-0.37
4/21/17,124.43,0.13
4/24/17,123.85,-0.58
4/25/17,123.94,0.09
4/26/17,122.81,-1.13
4/27/17,125.77,2.96
4/28/17,125.94,0.17
5/1/17,127.51,1.57
5/2/17,127.91,0.4
5/3/17,126.79,-1.12
5/4/17,127.39,0.6
5/5/17,128.69,1.3
5/8/17,128.87,0.18
5/9/17,128.09,-0.78
5/10/17,127.1,-0.99
5/11/17,126.28,-0.82
5/12/17,126.12,-0.16
5/15/17,127.93,1.81
5/16/17,128.37,0.44
5/17/17,130.74,2.37
5/18/17,127.98,-2.76
5/19/17,128.32,0.34
5/22/17,128.73,0.41
5/23/17,128.73,0
5/24/17,129.3,0.57
5/25/17,131.05,1.75
5/26/17,131.11,0.06
5/30/17,132.12,1.01
5/31/17,131.19,-0.93
6/1/17,131.83,0.64
6/2/17,132.49,0.66
6/5/17,131.61,-0.88
6/6/17,131.7,0.09
6/7/17,131.82,0.12
6/8/17,130.97,-0.85
6/9/17,130.28,-0.69
6/12/17,129.18,-1.1
6/13/17,130.19,1.01
6/14/17,130.5,0.31
6/15/17,130.87,0.37
6/16/17,131.95,1.08
6/19/17,132.33,0.38
6/20/17,131.2,-1.13
6/21/17,130.61,-0.59
6/22/17,130.87,0.26
6/23/17,131.88,1.01
6/26/17,132.46,0.58
6/27/17,135.75,3.29
6/28/17,134.53,-1.22
6/29/17,132.82,-1.71
6/30/17,132.32,-0.5
7/3/17,131.41,-0.91
7/5/17,132.25,0.84
7/6/17,131.54,-0.71
7/7/17,133.14,1.6
7/10/17,131.21,-1.93
7/11/17,130.93,-0.28
7/12/17,133.88,2.95
7/13/17,134.14,0.26
7/14/17,136.04,1.9
7/17/17,135.4,-0.64
7/18/17,136.18,0.78
7/19/17,135.42,-0.76
7/20/17,136.24,0.82
7/21/17,136.9,0.66
7/24/17,137.07,0.17
7/25/17,136.62,-0.45
7/26/17,137.87,1.25
7/27/17,134.86,-3.01
7/28/17,138.34,3.48
7/31/17,136.33,-2.01
8/1/17,135.97,-0.36
8/2/17,137.97,2
8/3/17,137.15,-0.82
8/4/17,137.57,0.42
8/7/17,138.07,0.5
8/8/17,136.63,-1.44
8/9/17,137.85,1.22
8/10/17,136.83,-1.02
8/11/17,136.68,-0.15
8/14/17,139.97,3.29
8/15/17,139.69,-0.28
8/16/17,141.09,1.4
8/17/17,139.65,-1.44
8/18/17,140,0.35
8/21/17,141.28,1.28
8/22/17,142.09,0.81
8/23/17,142.84,0.75
8/24/17,143.8,0.96
8/25/17,144.24,0.44
8/28/17,145.78,1.54
8/29/17,145.89,0.11
8/30/17,147.52,1.63
8/31/17,148.05,0.53
9/1/17,145.77,-2.28
9/5/17,146.94,1.17
