Date,Close,Change
11/3/17,32.5,0.45
11/6/17,31.25,-1.25
11/7/17,31.35,0.1
11/8/17,29.6,-1.75
11/9/17,29.65,0.05
11/10/17,29,-0.65
11/13/17,29.4,0.4
11/14/17,28.3,-1.1
11/15/17,28.05,-0.25
11/16/17,28.7,0.65
11/17/17,28.4,-0.3
11/20/17,30.4,2
11/21/17,33.6,3.2
11/22/17,34,0.4
11/24/17,35.25,1.25
11/27/17,36.75,1.5
11/28/17,36.75,0
11/29/17,35.55,-1.2
11/30/17,37.1,1.55
12/1/17,35.7,-1.4
12/4/17,33.6,-2.1
12/5/17,32.8,-0.8
12/6/17,31.5,-1.3
12/7/17,33.75,2.25
12/8/17,33.55,-0.2
12/11/17,32.3,-1.25
12/12/17,33.25,0.95
12/13/17,34.65,1.4
12/14/17,34,-0.65
12/15/17,35.95,1.95
12/18/17,36.35,0.4
12/19/17,35.6,-0.75
12/20/17,35.6,0
12/21/17,35.2,-0.4
12/22/17,35.2,0
12/26/17,35.9,0.7
12/27/17,35.6,-0.3
12/28/17,35.45,-0.15
12/29/17,34.85,-0.6
1/2/18,36.2,1.35
1/3/18,36.85,0.65
1/4/18,37.2,0.35
1/5/18,37.5,0.3
1/8/18,36.05,-1.45
1/9/18,34.5,-1.55
1/10/18,33.1,-1.4
1/11/18,33.2,0.1
1/12/18,32.65,-0.55
1/16/18,32.75,0.1
1/17/18,32.45,-0.3
1/18/18,31.3,-1.15
1/19/18,32.65,1.35
1/22/18,32.75,0.1
1/23/18,34.55,1.8
1/24/18,34.9,0.35
1/25/18,35.3,0.4
1/26/18,36.5,1.2
1/29/18,36.1,-0.4
1/30/18,36.3,0.2
1/31/18,37.4,1.1
2/1/18,37.05,-0.35
2/2/18,35.3,-1.75
2/5/18,33.95,-1.35
2/6/18,34.7,0.75
2/7/18,34.1,-0.6
2/8/18,33.05,-1.05
2/9/18,32.95,-0.1
2/12/18,33.8,0.85
2/13/18,34.15,0.35
2/14/18,35.75,1.6
2/15/18,36.9,1.15
2/16/18,37.15,0.25
2/20/18,37.75,0.6
2/21/18,38.65,0.9
2/22/18,38.8,0.15
2/23/18,37.95,-0.85
2/26/18,38.55,0.6
2/27/18,37.3,-1.25
2/28/18,40.1,2.8
3/1/18,38.55,-1.55
3/2/18,41.95,3.4
3/5/18,41.95,0
3/6/18,43.45,1.5
3/7/18,44.05,0.6
3/8/18,43.05,-1
3/9/18,43.15,0.1
3/12/18,43.25,0.1
3/13/18,42.8,-0.45
3/14/18,42.95,0.15
3/15/18,42.5,-0.45
3/16/18,41.25,-1.25
3/19/18,41.55,0.3
3/20/18,41.8,0.25
3/21/18,43.1,1.3
3/22/18,42.7,-0.4
3/23/18,42.3,-0.4
3/26/18,43.6,1.3
3/27/18,41.15,-2.45
3/28/18,39.15,-2
3/29/18,40.3,1.15
4/2/18,38.5,-1.8
4/3/18,40,1.5
4/4/18,40.75,0.75
4/5/18,41.4,0.65
4/6/18,39.15,-2.25
4/9/18,38.7,-0.45
4/10/18,39.7,1
4/11/18,40.1,0.4
4/12/18,41.45,1.35
4/13/18,41.15,-0.3
4/16/18,41.65,0.5
4/17/18,42.5,0.85
4/18/18,42.65,0.15
4/19/18,43.05,0.4
4/20/18,42.75,-0.3
4/23/18,42.55,-0.2
4/24/18,41.15,-1.4
4/25/18,40.65,-0.5
4/26/18,42.1,1.45
4/27/18,43,0.9
4/30/18,43,0
5/1/18,42.7,-0.3
5/2/18,45.45,2.75
5/3/18,41.7,-3.75
5/4/18,42.2,0.5
5/7/18,44.35,2.15
5/8/18,45.3,0.95
5/9/18,46.65,1.35
5/10/18,46.65,0
5/11/18,47.85,1.2
5/14/18,48.5,0.65
5/15/18,49.05,0.55
5/16/18,49.45,0.4
5/17/18,48.7,-0.75
5/18/18,49.35,0.65
5/21/18,49.9,0.55
5/22/18,49.6,-0.3
5/23/18,49.85,0.25
5/24/18,50.6,0.75
5/25/18,50.7,0.1
5/29/18,50.8,0.1
5/30/18,51.2,0.4
5/31/18,50.9,-0.3
6/1/18,50.8,-0.1
6/4/18,51.9,1.1
6/5/18,53.8,1.9
6/6/18,54.3,0.5
6/7/18,53,-1.3
6/8/18,53.6,0.6
6/11/18,54.7,1.1
6/12/18,56.7,2
6/13/18,59.05,2.35
6/14/18,60.6,1.55
6/15/18,60.85,0.25
6/18/18,62.15,1.3
6/19/18,60.45,-1.7
6/20/18,62.35,1.9
6/21/18,61.45,-0.9
6/22/18,61.6,0.15
6/25/18,59.55,-2.05
6/26/18,59.65,0.1
6/27/18,55.7,-3.95
6/28/18,57.7,2
6/29/18,58.05,0.35
7/2/18,59.4,1.35
7/3/18,59.85,0.45
7/5/18,62.8,2.95
7/6/18,63.35,0.55
7/9/18,65.15,1.8
7/10/18,62.2,-2.95
7/11/18,62.7,0.5
7/12/18,65.45,2.75
7/13/18,66.1,0.65
7/16/18,67.05,0.95
7/17/18,68.3,1.25
7/18/18,69.15,0.85
7/19/18,70.4,1.25
7/20/18,68.55,-1.85
7/23/18,69.55,1
7/24/18,63.7,-5.85
7/25/18,66.9,3.2
7/26/18,65.9,-1
7/27/18,63.85,-2.05
7/30/18,61.05,-2.8
7/31/18,59.85,-1.2
8/1/18,61.85,2
8/2/18,65.25,3.4
8/3/18,62.5,-2.75
8/6/18,66,3.5
8/7/18,66.7,0.7
8/8/18,69.35,2.65
8/9/18,69,-0.35
8/10/18,71.85,2.85
8/13/18,69.5,-2.35
8/14/18,71.7,2.2
8/15/18,70.75,-0.95
8/16/18,72.6,1.85
8/17/18,73.95,1.35
8/20/18,75.3,1.35
8/21/18,74.85,-0.45
8/22/18,75.7,0.85
8/23/18,75.8,0.1
8/24/18,75.75,-0.05
8/27/18,74.05,-1.7
8/28/18,74.5,0.45
8/29/18,74.05,-0.45
8/30/18,75.95,1.9
8/31/18,77.55,1.6
9/4/18,79.15,1.6
9/5/18,77.3,-1.85
9/6/18,76.45,-0.85
9/7/18,77.05,0.6
9/10/18,77.15,0.1
9/11/18,78.15,1
9/12/18,76.95,-1.2
9/13/18,77.75,0.8
9/14/18,77.3,-0.45
9/17/18,74.6,-2.7
9/18/18,76.95,2.35
9/19/18,75.45,-1.5
9/20/18,75.4,-0.05
9/21/18,78.1,2.7
9/24/18,78.5,0.4
9/25/18,80.75,2.25
9/26/18,78.55,-2.2
9/27/18,82.5,3.95
9/28/18,86.35,3.85
10/1/18,83.72,-2.63
10/2/18,80.37,-3.35
10/3/18,79.9,-0.47
10/4/18,78.07,-1.83
10/5/18,75.83,-2.24
10/8/18,71,-4.83
10/9/18,69.25,-1.75
10/10/18,63.43,-5.82
10/11/18,62.43,-1
10/12/18,65.94,3.51
10/15/18,66.37,0.43
10/16/18,70.87,4.5
10/17/18,69.95,-0.92
10/18/18,68.23,-1.72
10/19/18,67.09,-1.14
10/22/18,69.14,2.05
10/23/18,67.18,-1.96
10/24/18,62.15,-5.03
10/25/18,65.96,3.81
10/26/18,62.51,-3.45
10/29/18,63.22,0.71
10/30/18,67.19,3.97
10/31/18,69.34,2.15
11/1/18,69.52,0.18
11/2/18,72.51,2.99
11/5/18,63.34,-9.17
11/6/18,63.41,0.07
11/7/18,68.28,4.87
11/8/18,65.33,-2.95
11/9/18,62.49,-2.84
11/12/18,60.56,-1.93
11/13/18,58.51,-2.05
11/14/18,57.4,-1.11
11/15/18,60.29,2.89
11/16/18,59.08,-1.21
11/19/18,52.94,-6.14
11/20/18,54.76,1.82
11/21/18,54.92,0.16
11/23/18,55.75,0.83
11/26/18,58.41,2.66
11/27/18,59.35,0.94
11/28/18,63.54,4.19
11/29/18,64.09,0.55
11/30/18,62.45,-1.64
12/3/18,64.88,2.43
12/4/18,59.81,-5.07
